Complexity metrics,Sat, 28 Mar 2026 14:21:21 EDT
Method,CogC,ev(G),iv(G),v(G)
com.university.project.legendsofswordandwand.model.Item.juice(),0,1,1,1
com.university.project.legendsofswordandwand.model.Item.steak(),0,1,1,1
com.university.project.legendsofswordandwand.model.Item.water(),0,1,1,1
com.university.project.legendsofswordandwand.model.Item.wine(),0,1,1,1
com.university.project.legendsofswordandwand.model.Party.Party(User),0,1,1,1
com.university.project.legendsofswordandwand.model.Party.calculateScore(),0,1,1,1
com.university.project.legendsofswordandwand.model.Party.getCumulativeLevel(),0,1,1,1
"com.university.project.legendsofswordandwand.model.PvPInvitation.PvPInvitation(User, User, InvitationStatus, LocalDateTime)",0,1,1,1
"com.university.project.legendsofswordandwand.model.User.User(String, String)",0,1,1,1
com.university.project.legendsofswordandwand.service.auth.impl.AuthServiceImpl.register(RegisterRequest),1,2,1,2
com.university.project.legendsofswordandwand.service.battle.impl.BattleServiceImpl.advanceTurn(BattleState),12,6,7,9
com.university.project.legendsofswordandwand.service.battle.impl.BattleServiceImpl.applyBattleLoss(BattleState),1,1,2,2
com.university.project.legendsofswordandwand.service.battle.impl.BattleServiceImpl.awardBattleRewards(BattleState),5,2,4,5
com.university.project.legendsofswordandwand.service.battle.impl.BattleServiceImpl.buildTurnQueue(BattleState),0,1,1,1
com.university.project.legendsofswordandwand.service.battle.impl.BattleServiceImpl.checkBattleStatus(BattleState),2,3,1,3
"com.university.project.legendsofswordandwand.service.battle.impl.BattleServiceImpl.decideEnemyAction(BattleUnit, List<BattleUnit>, BattleState)",16,1,11,11
"com.university.project.legendsofswordandwand.service.battle.impl.BattleServiceImpl.executeAttack(BattleUnit, BattleUnit, BattleState)",4,1,3,5
com.university.project.legendsofswordandwand.service.battle.impl.BattleServiceImpl.executeDefend(HeroSnapshot),0,1,1,1
com.university.project.legendsofswordandwand.service.battle.impl.BattleServiceImpl.executeEnemyTurn(BattleState),8,4,7,8
"com.university.project.legendsofswordandwand.service.battle.impl.BattleServiceImpl.executePlayerAction(BattleState, ActionType, Long, Integer)",16,5,13,16
"com.university.project.legendsofswordandwand.service.battle.impl.BattleServiceImpl.initializePvEBattle(Long, int)",0,1,1,1
"com.university.project.legendsofswordandwand.service.battle.impl.BattleServiceImpl.initializePvPBattle(Long, Long, Long)",0,1,1,1
com.university.project.legendsofswordandwand.service.battle.impl.BattleServiceImpl.refillTurnQueue(BattleState),2,1,2,2
com.university.project.legendsofswordandwand.service.battle.impl.BattleServiceImpl.restorePartyHeroes(List<BattleUnit>),2,2,1,2
com.university.project.legendsofswordandwand.service.battle.impl.BattleServiceImpl.updatePvPResult(BattleState),4,2,4,5
com.university.project.legendsofswordandwand.service.battle.impl.InnServiceImpl.cleanupTemporaryRecruits(Long),0,1,1,1
com.university.project.legendsofswordandwand.service.battle.impl.InnServiceImpl.generateRecruitName(),0,1,1,1
com.university.project.legendsofswordandwand.service.battle.impl.InnServiceImpl.getAvailableRecruits(Long),8,3,9,9
com.university.project.legendsofswordandwand.service.battle.impl.InnServiceImpl.getShopItems(),1,1,2,2
com.university.project.legendsofswordandwand.service.battle.impl.InnServiceImpl.loadInnView(Long),0,1,1,1
"com.university.project.legendsofswordandwand.service.battle.impl.InnServiceImpl.purchaseItem(Long, Long)",2,2,2,3
"com.university.project.legendsofswordandwand.service.battle.impl.InnServiceImpl.recruitHero(Long, Long)",3,3,2,4
com.university.project.legendsofswordandwand.service.campaign.impl.CampaignProgressServiceImpl.calculateAndPersistScore(Campaign),0,1,1,1
com.university.project.legendsofswordandwand.service.campaign.impl.CampaignProgressServiceImpl.clearRoomPending(String),0,1,1,1
com.university.project.legendsofswordandwand.service.campaign.impl.CampaignProgressServiceImpl.enterNextRoom(String),4,3,3,5
com.university.project.legendsofswordandwand.service.campaign.impl.CampaignProgressServiceImpl.getCampaignResultsForUser(Long),0,1,1,1
com.university.project.legendsofswordandwand.service.campaign.impl.CampaignProgressServiceImpl.getCampaignViewData(String),0,1,1,1
com.university.project.legendsofswordandwand.service.campaign.impl.CampaignProgressServiceImpl.getCompletionData(String),0,1,1,1
com.university.project.legendsofswordandwand.service.campaign.impl.CampaignProgressServiceImpl.isCampaignComplete(String),0,1,1,1
com.university.project.legendsofswordandwand.service.campaign.impl.CampaignServiceImpl.abandonCampaign(String),0,1,1,1
com.university.project.legendsofswordandwand.service.campaign.impl.CampaignServiceImpl.completeCampaign(String),1,1,2,2
com.university.project.legendsofswordandwand.service.campaign.impl.CampaignServiceImpl.exitCampaign(String),0,1,1,1
com.university.project.legendsofswordandwand.service.campaign.impl.CampaignServiceImpl.getActiveCampaign(String),0,1,1,1
com.university.project.legendsofswordandwand.service.campaign.impl.CampaignServiceImpl.getMostRecentCompletedCampaign(String),0,1,1,1
com.university.project.legendsofswordandwand.service.campaign.impl.CampaignServiceImpl.getPartyCumulativeLevel(String),0,1,1,1
com.university.project.legendsofswordandwand.service.campaign.impl.CampaignServiceImpl.hasActiveCampaign(Long),0,1,1,1
"com.university.project.legendsofswordandwand.service.campaign.impl.CampaignServiceImpl.replacePartyFromCampaign(Long, Long, Long)",1,1,2,2
"com.university.project.legendsofswordandwand.service.campaign.impl.CampaignServiceImpl.savePartyFromCampaign(Long, Long)",1,2,1,2
"com.university.project.legendsofswordandwand.service.campaign.impl.CampaignServiceImpl.startNewCampaign(String, String, HeroClass)",1,2,1,2
"com.university.project.legendsofswordandwand.service.hero.impl.HeroServiceImpl.addExperience(Long, int)",0,1,1,1
"com.university.project.legendsofswordandwand.service.hero.impl.HeroServiceImpl.createBaseHeroForParty(Long, String, HeroClass)",0,1,1,1
